plot_ID,species,cover_percent,life_form,growth_form,height_cm,length_cm,width_cm,spinescence,n_spines,hairs,leaf_size,bulk_density,cageyness,woody_diameter,woody_n_stems,reproductive_height,specimen_notes,reserve,site_ID,time,date,weather,megafauna_presence,topographic_position,bare_ground,rock_cover,tsq_x_shrub,tsq_t_shrub,tsq_x_tree,tsq_t_tree,camera_ID,notes,identification,species_per_reserve,species_per_plot,species_per_site,growth_forms_per_site,growth_forms_per_plot
AN_S05_P05,Acokanthera oppositifolia,1,Forb,rf (Round forb),11.5,12,8,Absent,,absent,Macro,medium,Not cagey,,"",,"",Ant's Farm,AN_S05,15:53,11/03/2024,"Sunny, windy",Herd of Giraffe just left the area when we arrived,Flat,40,5,10,35,320,200,"","",species_level,136,19,55,11,5
SY_S01_P01,Acrotome hispida,1,Forb,sf (Straight forb),18,2,2,Absent,,both,Micro,medium,Not cagey,,"",17,"",Syringa Sands,SY_S01,13:28,27/02/2024,Overcast,Some browsing damage,Flat,5,0,36,208,1205,1510,"","",species_level,122,16,44,11,8
SY_S01_P04,Acrotome hispida,1,Forb,sf (Straight forb),22,3,1,Absent,,absent,Macro,medium,Not cagey,,"",23,"",Syringa Sands,SY_S01,16:17,27/02/2024,Cloudy,Droppings,Flat,20,0,60,60,170,50,"","",species_level,122,15,44,11,8
SY_S01_P05,Acrotome hispida,1,Forb,mf (Messy forb),23,48,21,Absent,,stems,Micro,medium,Not cagey,,"",10,"",Syringa Sands,SY_S01,17:11,27/02/2024,Cloudy,Lots of droppings,Flat,15,0,80,40,190,30,"","",species_level,122,7,44,11,6
MA_S02_P03,Aeollanthus buchnerianus,2,Forb,rf (Round forb),23,24,13,Absent,,both,Macro,low,Not cagey,,"",30,"",Marakele,MA_S02,16:12,24/03/2024,Sunny,No obvious signs,Flat,5,0,130,310,910,300,ECO_47,"",species_level,97,12,40,12,6
MA_S01_P02,Aeollanthus buchnerianus,2,Forb,sf (Straight forb),8,5.5,5,Absent,,both,Micro,high,Not cagey,,"",,"",Marakele,MA_S01,11:04,24/03/2024,Sunny,No obvious signs,Flat,50,0,74,110,290,230,"","",species_level,97,15,44,10,7
MA_S02_P05,Aeollanthus buchnerianus,1,Forb,rf (Round forb),13,15,13,Absent,,both,Macro,low,Not cagey,,"",14,"",Marakele,MA_S02,17:17,24/03/2024,Sunny,No obvious signs,Flat,10,0,340,250,760,140,"","",species_level,97,15,40,12,5
MA_S01_P05,Aeollanthus buchnerianus,1,Forb,rf (Round forb),14,9,7,Absent,,both,Macro,low,Not cagey,,"",,"",Marakele,MA_S01,13:37,24/03/2024,"Hot, sunny",No obvious signs,Flat,40,0,50,130,280,370,"","",species_level,97,20,44,10,8
MA_S03_P03,Aeollanthus buchnerianus,1,Forb,rf (Round forb),9,9,4,Absent,,both,Micro,low,Not cagey,,"",,"",Marakele,MA_S03,10:18,25/03/2024,"Sunny, some clouds",No obvious signs,Flat,25,0,50,110,250,120,ECO_48,"",species_level,97,18,30,11,9
MA_S03_P04,Aeollanthus buchnerianus,1,Forb,rf (Round forb),23,23,15,Absent,,both,Macro,medium,Not cagey,,"",41,"",Marakele,MA_S03,11:10,25/03/2024,"Sunny, hot",No obvious signs,Flat,40,0,200,150,650,130,"","",species_level,97,8,30,11,6
MA_S04_P05,Aeollanthus buchnerianus,1,Forb,rf (Round forb),23,10,7,Absent,,both,Macro,low,Not cagey,,"",28,"",Marakele,MA_S04,14:40,25/03/2024,"Hot, sunny, some clouds",No obvious signs,Flat,30,0,96,110,600,970,"","",species_level,97,15,37,11,7
LA_S05_P04,Afrosolen sandersonii,1,Forb,sf (Straight forb),25,20,16,Absent,,Absent,Thin linear,low,Not cagey,,"",32,"",Lapalala,LA_S05,15:55,18/02/2024,"Hot, windy","spoor, impala/steenbok dung",Flat,40,0,350,110,640,610,"","",species_level,88,9,29,11,5
WI_S01_P02,Afrosolen sandersonii,1,Forb,sf (Straight forb),29.5,3,3,Absent,,absent,Thin linear,low,Not cagey,,"",34.5,"",Willowisp,WI_S01,9:02,24/02/2024,"Sunny, windy",No obvious signs,Flat,10,0,710,450,1000,710,"","",species_level,108,19,58,11,6
SY_S05_P01,Afrosolen sandersonii,1,Forb,sf (Straight forb),32,18,15,Absent,,absent,Thin linear,low,Not cagey,,"",24,"",Syringa Sands,SY_S05,7:12,29/02/2024,Overcast,Large antelope droppings,Slightly sloped,15,5,309,251,402,148,"","",species_level,122,12,42,8,4
LA_S01_P01,Agathisanthemum bojeri,10,Forb,rf (Round forb),35,26,20,Absent,,Absent,Macro,high,Not cagey,,"",42.5,"",Lapalala,LA_S01,8:26,15/02/2024,"Sunny, no clouds","Impala poop x 2, spoor",Flat,25,0,240,240,840,230,"","",species_level,88,9,32,12,6
LA_S02_P04,Agathisanthemum bojeri,1,Forb,rf (Round forb),15,35,20,Absent,,Absent,Macro,medium,Semi cagey,,"",15,"",Lapalala,LA_S02,"",16/02/2024,"Sunny, no clouds",Elephant dung,Flat,10,5,120,100,450,130,"","",species_level,88,15,32,9,5
LA_S03_P02,Agathisanthemum bojeri,1,Forb,sf (Straight forb),15,3,3,Absent,,both,Macro,medium,Not cagey,,"",,"",Lapalala,LA_S03,11:39,17/02/2024,"Sunny, hot, windy",No obvious signs,Flat,75,0,220,180,430,570,"","",species_level,88,13,45,11,7
LA_S03_P04,Agathisanthemum bojeri,2,Forb,mf (Messy forb),22,47,40,Absent,,stems and branches,Macro,medium,Not cagey,,"",24,"",Lapalala,LA_S03,"",17/02/2024,"Hot, cloudy",No obvious signs,Flat,25,0,180,,100,70,"",Next to huge termite digging activity. Shaded. Old rhino footprints.,species_level,88,21,45,11,8
LA_S03_P05,Agathisanthemum bojeri,,Forb,sf (Straight forb),40,15,6,Absent,,Absent,Macro,low,Not cagey,,"",40,"",Lapalala,LA_S03,16:30,17/02/2024,"Hot, cloudy","Tracks, elephant claws",Flat,10,0,110,70,130,370,"",Some giraffe spoor. 30% covered by tree-growing ochird.,species_level,88,11,45,11,5
JE_S01_P01,Agathisanthemum bojeri,10,Forb,sf (Straight forb),30,12,10,Absent,,Absent,Macro,medium,Not cagey,,"",29,"",Jembisa,JE_S01,11:41,21/02/2024,Sunny,Zebra dung,Flat,20,0,180,100,1000,350,ECO_06,"",species_level,102,11,30,9,6
JE_S01_P05,Agathisanthemum bojeri,2,Forb,sf (Straight forb),28,4,4,Absent,,Absent,Micro,low,Not cagey,,"",28,"",Jembisa,JE_S01,15:42,21/02/2024,Raining,Old zebra dung in plot,Flat,40,0,70,100,430,440,ECO_06,"",species_level,102,13,30,9,6
JE_S01_P03,Agathisanthemum bojeri,2,Forb,rf (Round forb),23,19,10,Absent,,Absent,Micro,low,Not cagey,,"",23,"",Jembisa,JE_S01,13:52,21/02/2024,Sunny,"Next to path, some debra dung and spoor",Flat,30,0,100,130,300,590,ECO_06,"",species_level,102,13,30,9,7
JE_S02_P02,Agathisanthemum bojeri,1,Forb,sf (Straight forb),12,5,4,Absent,,Absent,Micro,low,Not cagey,,"",,"",Jembisa,JE_S02,11:16,22/02/2024,"Sunny, no clouds",dung,Flat,50,0,5,20,220,170,"","",species_level,102,15,42,12,7
JE_S02_P04,Agathisanthemum bojeri,1,Forb,sf (Straight forb),14,28,12,Absent,,Absent,Macro,medium,Not cagey,,"",,"",Jembisa,JE_S02,12:47,22/02/2024,Sunny,"",Flat,40,0,100,130,460,300,"","",species_level,102,11,42,12,7
JE_S05_P01,Agathisanthemum bojeri,1,Forb,cuf (Cussion forb),3.5,7,5,Absent,,Absent,Micro,medium,Not cagey,,"",,"",Jembisa,JE_S05,13:11,23/02/2024,"Sunny, some clouds",Dung of multiple species,Flat,75,0,240,220,1040,220,ECO_10,"",species_level,102,14,38,10,6
JE_S04_P02,Agathisanthemum bojeri,2,Forb,sf (Straight forb),26,40,18,Absent,,stems and branches,Macro,medium,Not cagey,,"",26,"",Jembisa,JE_S04,9:16,23/02/2024,Sunny,some plants eaten,Flat,25,0,120,170,340,220,ECO_09,"",species_level,102,13,47,11,6
JE_S04_P04,Agathisanthemum bojeri,1,Forb,rf (Round forb),5,5,5,Absent,,both,Micro,high,Not cagey,,"",,"",Jembisa,JE_S04,11:05,23/02/2024,Sunny,path nearby,Flat,20,0,250,420,570,710,"","",species_level,102,18,47,11,7
JE_S05_P04,Agathisanthemum bojeri,2,Forb,rf (Round forb),30,25,22,"",,stems,Macro,medium,Not cagey,,"",31,"",Jembisa,JE_S05,15:35,23/02/2024,Sunny,No obvious signs,Flat,50,0,90,80,250,100,"","Shaded, near a huge burrow",species_level,102,14,38,10,7
WI_S01_P03,Agathisanthemum bojeri,2,Forb,sf (Straight forb),39,22,15,Absent,,absent,Macro,low,Not cagey,,"",33,"",Willowisp,WI_S01,10:00,24/02/2024,"Sunny, windy",No obvious signs,Flat,10,0,110,50,90,180,"","",species_level,108,20,58,11,10
SU_S02_P05,Agathisanthemum bojeri,2,Forb,mf (Messy forb),30,37,32,Absent,,absent,Macro,medium,"",,"",34,"",Summerplace,SU_S02,11:24,02/03/2024,Sunny,Large antelope droppings,Flat,10,0,170,120,140,90,"","",species_level,132,10,47,10,6
SU_S03_P04,Agathisanthemum bojeri,1,Forb,sf (Straight forb),35,6,3,Absent,,stems,Macro,low,Not cagey,,"",35,"",Summerplace,SU_S01,14:55,02/03/2024,"Sunny, some clouds ",Antelope droppings,Flat,10,0,190,60,250,390,"","",species_level,132,15,68,12,6
SU_S04_P04,Agathisanthemum bojeri,5,Forb,rf (Round forb),30,25,25,Absent,,absent,Macro,medium,Not cagey,,"",32,"",Summerplace,SU_S05,10:31,03/03/2024,"Sunny, windy",Old droppings,Flat,20,0,182,151,330,202,"","",species_level,132,11,67,12,6
DA_S03_P04,Agathisanthemum bojeri,2,Forb,rf (Round forb),30,39,29,Absent,,stems,Macro,high,Not cagey,,"",31,"",Dabchick,DA_S03,15:05,06/03/2024,"Sunny, some clouds",Old droppings,Flat,70,0,90,140,190,200,"","",species_level,145,15,51,10,6
DA_S02_P04,Agathisanthemum bojeri,2,Forb,sf (Straight forb),38.5,12,11,Absent,,stems,Macro,medium,Not cagey,,"",40,"",Dabchick,DA_S02,15:05,06/03/2024,Sunny,Buffalo dung,Flat,50,0,119,65,92,254,"","",species_level,145,7,43,13,4
DA_S02_P02,Agathisanthemum bojeri,2,Forb,sf (Straight forb),23,7,3,Absent,,absent,Macro,medium,Not cagey,,"",27,"",Dabchick,DA_S02,8:04,06/03/2024,"Sunny, windy ",Antelope droppings in plot,Flat,40,0,25,130,660,160,"","",species_level,145,19,43,13,9
DA_S02_P03,Agathisanthemum bojeri,1,Forb,sf (Straight forb),13,4.5,4,Absent,,absent,Macro,medium,Not cagey,,"",13,"",Dabchick,DA_S02,9:06,06/03/2024,"Sunny, windy",Antelope droppings in plot,Flat,55,0,122,258,390,498,"","",species_level,145,18,43,13,6
DA_S03_P05,Agathisanthemum bojeri,2,Forb,rf (Round forb),20,20,13,Absent,,stems,Macro,medium,Not cagey,,"",17.5,"",Dabchick,DA_S03,15:44,06/03/2024,"Hot, sunny, some clouds",Old droppings in plot,Flat,65,0,170,30,770,410,"","",species_level,145,18,51,10,6
DA_S04_P01,Agathisanthemum bojeri,1,Forb,rf (Round forb),22,25,16,Absent,,absent,Macro,high,Not cagey,,"",28,"",Dabchick,DA_S04,7:18,07/03/2024,Overcast,Antelope droppings next to plot,Flat,60,0,30,46,170,69,"",Very sandy soil,species_level,145,13,34,8,6
DA_S04_P03,Agathisanthemum bojeri,2,Forb,sf (Straight forb),29,9,4,Absent,,absent,Macro,medium,Not cagey,,"",30,"",Dabchick,DA_S04,8:44,07/03/2024,Overcast,"Large, small antelope, buffalo droppings nearby",Flat,30,0,46,39,381,590,ECO_29,Very sandy soil,species_level,145,13,34,8,6
DA_S04_P04,Agathisanthemum bojeri,1,Forb,rf (Round forb),17,24,13,Absent,,absent,Macro,medium,Not cagey,,"",17,"",Dabchick,DA_S04,9:30,07/03/2024,Overcast,Old antelope dung in plot,Flat,40,0,71,30,425,70,"",Very sandy soil,species_level,145,9,34,8,5
DA_S04_P05,Agathisanthemum bojeri,1,Forb,rf (Round forb),29,18,10,Absent,,absent,Micro,low,Not cagey,,"",29,"",Dabchick,DA_S04,10:00,07/03/2024,Overcast,Droppings nearby,Flat,30,0,20,20,660,165,"",Very sandy soil,species_level,145,13,34,8,7
AN_S03_P01,Agathisanthemum bojeri,5,Forb,rf (Round forb),27,26,20,Absent,,stems,Macro,medium,Not cagey,,"",29,"",Ant's Farm,AN_S03,11:50,10/03/2024,"Sunny, hot",Some browsing,Flat,20,15,180,202,277,400,"","",species_level,136,21,53,12,8
AN_S02_P02,Agathisanthemum bojeri,1,Forb,sf (Straight forb),5,2,2,Absent,,both,Micro,medium,Not cagey,,"",5,"",Ant's Farm,AN_S02,8:32,10/03/2024,Sunny,No obvious signs,Flat,60,0,30,62,152,70,"","",species_level,136,13,39,12,6
KA_S01_P04,Agathisanthemum bojeri,10,Forb,mf (Messy forb),25,19,9,Absent,,absent,Macro,medium,Not cagey,,"",25,"",Kaingo,KA_S01,15:02,13/03/2024,"Sunny, some clouds",Zebra and other antelope droppings nearby,Flat,50,5,210,460,265,340,"","",species_level,81,14,24,8,5
KA_S01_P05,Agathisanthemum bojeri,5,Forb,rf (Round forb),24,37,16,Absent,,stems,Macro,medium,Not cagey,,"",24,"",Kaingo,KA_S01,15:44,13/03/2024,"Sunny, some clouds","Elephant dung nearby, small antelope droppings in plot",Flat,45,0,240,150,350,150,"","",species_level,81,7,24,8,4
SW_S04_P05,Agathisanthemum bojeri,1,Forb,rf (Round forb),33,30,30,Absent,,stems,Macro,medium,Not cagey,,"",30,"",Swebeswebe,SW_S04,9:37,21/03/2024,Mostly cloudy,Antelope droppings in plot,Flat,25,1,146,60,190,85,"","",species_level,91,16,32,12,8
AN_S04_P02,Agrostis lachnantha,1,Graminoid,ug (Sparse upward graminoid),12,8,5,Absent,,absent,Thin linear,low,Not cagey,,"",60,"",Ant's Farm,AN_S04,8:15,11/03/2024,Sunny,Antelope droppings,Flat,60,0,309,119,275,290,"",Very sandy soil,species_level,136,21,51,9,6
KA_S05_P05,Albuca glauca,1,Forb,rf (Round forb),11,26,2,Absent,,absent,Thick linear,low,Not cagey,,"",,"",Kaingo,KA_S05,11:34,16/03/2024,Sunny,No obvious signs,Flat,55,0,30,110,270,460,"","",species_level,81,19,39,11,9
AN_S03_P03,Albuca seineri,1,Forb,sf (Straight forb),9,11,5,Absent,,absent,Thick linear,medium,Not cagey,,"",,"",Ant's Farm,AN_S03,13:46,10/03/2024,"Sunny, hot",Antelope droppings in plot,Slightly sloped,20,20,105,95,230,250,ECO_33,"",species_level,136,19,53,12,9
SY_S01_P04,Alloteropsis semialata,5,Graminoid,ug (Sparse upward graminoid),34,27,24,Absent,,leaves,Thick linear,medium,Not cagey,,"",118,"",Syringa Sands,SY_S01,16:17,27/02/2024,Cloudy,Droppings,Flat,20,0,60,60,170,50,"","",species_level,122,15,44,11,8
SU_S01_P01,Aloe davyana,1,Forb,cuf (Cussion forb),1.5,4,1,<5cm; on leaves,,absent,Macro,high,Not cagey,,"",,"",Summerplace,SU_S01,13:49,01/03/2024,Sunny,Droppings in plot,Flat,10,0,110,80,230,210,"","",species_level,132,18,68,12,8
SU_S04_P05,Aloe davyana,1,Forb,rf (Round forb),14,22,19,<5cm; on leaves,21,absent,Mega,extremely thick,Semi cagey,,"",,"",Summerplace,SU_S04,11:07,03/03/2024,Sunny,Old droppings in plot,Flat,40,0,60,70,120,140,"",Shaded,species_level,132,13,13,7,7
LA_S02_P04,Andropogon chinensis,15,Graminoid,at (Angry tussock graminoid),30,20,10,Absent,,leaves,Thick linear,medium,Not cagey,,"",50,"",Lapalala,LA_S02,"",16/02/2024,"Sunny, no clouds",Elephant dung,Flat,10,5,120,100,450,130,"","",species_level,88,15,32,9,5
LA_S03_P03,Andropogon chinensis,5,Graminoid,cg (Creeping graminoid),70,50,40,Absent,,Absent,Thin linear,high,Semi cagey,,"",,"",Lapalala,LA_S03,13:03,17/02/2024,"Sunny, hot, windy","Spoor, old rhino/elephant dung","Flat, slight slope",80,0,190,260,530,100,ECO_02,"",species_level,88,9,45,11,5
LA_S05_P01,Andropogon chinensis,5,Graminoid,at (Angry tussock graminoid),79.5,17,21,Absent,,Absent,Thin linear,high,Semi cagey,,"",,"",Lapalala,LA_S05,13:29,18/02/2024,"Sunny, windy","",Flat,55,0,50,310,310,685,"","",species_level,88,8,29,11,6
JE_S05_P04,Andropogon chinensis,5,Graminoid,ug (Sparse upward graminoid),36,9,6,"",,absent,Thin linear,medium,Not cagey,,"",,"",Jembisa,JE_S05,15:35,23/02/2024,Sunny,No obvious signs,Flat,50,0,90,80,250,100,"","Shaded, near a huge burrow",species_level,102,14,38,10,7
WI_S05_P04,Andropogon chinensis,5,Graminoid,at (Angry tussock graminoid),56,26,21,Absent,,absent,Thin linear,high,Not cagey,,"",,"",Willowisp,WI_S05,17:13,25/02/2024,Sunny,No obvious signs,Flat,50,15,150,80,1000,450,"","",species_level,108,14,36,13,6
SY_S04_P05,Andropogon chinensis,2,Graminoid,ug (Sparse upward graminoid),89,24,21,Absent,,absent,Thin linear,low,Not cagey,,"",,"",Syringa Sands,SY_S04,11:23,29/02/2024,Overcast,Antelope droppings,"",50,0,90,130,150,180,"",Shaded,species_level,122,18,42,12,8
DA_S04_P03,Andropogon chinensis,2,Graminoid,rt (Relaxed tussock graminoid),52,31,14,Absent,,absent,Thin linear,low,Not cagey,,"",91,"",Dabchick,DA_S04,8:44,07/03/2024,Overcast,"Large, small antelope, buffalo droppings nearby",Flat,30,0,46,39,381,590,ECO_29,Very sandy soil,species_level,145,13,34,8,6
DA_S05_P05,Andropogon chinensis,1,Graminoid,at (Angry tussock graminoid),29,12,10,Absent,,absent,Thin linear,low,Not cagey,,"",72,"",Dabchick,DA_S05,15:22,07/03/2024,Mostly cloudy,Old dung nearby,Flat,15,20,40,190,170,380,"","",species_level,145,21,55,12,7
KA_S03_P02,Andropogon chinensis,2,Graminoid,ug (Sparse upward graminoid),24,11,9,Absent,,absent,Thin linear,low,Not cagey,,"",63,"",Kaingo,KA_S03,13:19,14/03/2024,"Very hot, sunny",No obvious signs,Flat,60,0,27,20,75,400,"","",species_level,81,9,23,9,5
KA_S02_P01,Andropogon chinensis,1,Graminoid,ug (Sparse upward graminoid),35,19,13,Absent,,both,Thin linear,low,Not cagey,,"",76,"",Kaingo,KA_S02,7:13,14/03/2024,Sunny,"Antelope droppings nearby, sable near plot on arrival ",Flat,40,0,89,307,351,289,"","",species_level,81,11,18,12,7
SW_S02_P02,Andropogon chinensis,1,Graminoid,ug (Sparse upward graminoid),13,6,3,Absent,,leaves,Thin linear,low,Not cagey,,"",,Heavily browsed,Swebeswebe,SW_S02,8:39,20/03/2024,Sunny,Browsing damage,Flat,30,30,150,68,269,536,"",Sloped and rocky surrounding plot,species_level,91,6,36,9,4
SY_S02_P03,Andropogon schirensis,10,Graminoid,ug (Sparse upward graminoid),38,5.5,4,Absent,,absent,Thin linear,low,Not cagey,,"",70,"",Syringa Sands,SY_S02,9:00,28/02/2024,"Cloudy, windy","",Flat,30,10,21,40,108,210,ECO_17,"",species_level,122,15,51,13,7
SY_S04_P02,Andropogon schirensis,1,Graminoid,at (Angry tussock graminoid),35,16,12,Absent,,absent,Thin linear,low,Not cagey,,"",105,"",Syringa Sands,SY_S04,17:14,28/02/2024,Cloudy,Antelope droppings,Slightly sloped (towards P3),25,0,40,20,710,340,"","",species_level,122,12,42,12,8
SU_S04_P01,Andropogon schirensis,1,Graminoid,ug (Sparse upward graminoid),13,22,15,Absent,,stems,Thick linear,low,Not cagey,,"",109,"",Summerplace,SU_S05,7:23,03/03/2024,Sunny,"Browsing damage, some large antelope droppings nearby ",Flat,60,0,272,220,1717,2095,"","",species_level,132,18,67,12,5
SU_S04_P05,Andropogon schirensis,1,Graminoid,rt (Relaxed tussock graminoid),30,20,16,Absent,,leaves,Thin linear,low,Not cagey,,"",94,"",Summerplace,SU_S04,11:07,03/03/2024,Sunny,Old droppings in plot,Flat,40,0,60,70,120,140,"",Shaded,species_level,132,13,13,7,7
SU_S04_P03,Andropogon schirensis,5,Graminoid,rt (Relaxed tussock graminoid),21,29,21,Absent,,leaves,Thick linear,medium,Not cagey,,"",97,"",Summerplace,SU_S05,9:35,03/03/2024,"Sunny, windy",No obvious signs,Flat,40,0,81,36,386,676,ECO_24,"",species_level,132,19,67,12,7
MA_S02_P04,Andropogon schirensis,2,Graminoid,rt (Relaxed tussock graminoid),21,41,28,Absent,,leaves,Thin linear,low,Not cagey,,"",98,"",Marakele,MA_S02,16:44,24/03/2024,Sunny,Warthog dung in plot,Flat,40,0,108,98,320,230,"","",species_level,97,16,40,12,8
SY_S01_P03,Anthospermum hispidulum,2,Forb,sf (Straight forb),27.5,10,2,Absent,,absent,Micro,medium,Not cagey,,"",20,"",Syringa Sands,SY_S01,15:19,27/02/2024,Cloudy,Lots of droppings nearby,Flat,15,0,32,50,1040,2000,"","",species_level,122,18,44,11,7
SY_S05_P03,Anthospermum hispidulum,1,Forb,sf (Straight forb),16.5,9,2.5,Absent,,absent,Micro,low,Not cagey,,"",6,"",Syringa Sands,SY_S05,8:16,29/02/2024,Overcast,"",Slightly sloped,5,0,590,60,940,660,"","",species_level,122,16,42,8,6
DA_S05_P04,Anthospermum hispidulum,1,Forb,sf (Straight forb),14,7,7,Absent,,absent,Micro,low,Not cagey,,"",14,"",Dabchick,DA_S05,14:27,07/03/2024,Mostly cloudy,Old buffalo dung,Slightly sloped,15,15,30,59,1835,1551,"","",species_level,145,21,55,12,6
DA_S05_P03,Anthospermum hispidulum,1,Forb,sf (Straight forb),31.5,2.5,1,Absent,,absent,Micro,medium,Not cagey,,"",31.5,"",Dabchick,DA_S05,13:09,07/03/2024,Mostly cloudy,"Fresh buffalo dung, heavily browsed",Slightly sloped,25,35,160,370,630,1040,ECO_30,"",species_level,145,22,55,12,8
DA_S05_P04,Aristea torulosa,2,Forb,sf (Straight forb),33,24,10,Absent,,absent,Thick linear,medium,Not cagey,,"",113,"",Dabchick,DA_S05,14:27,07/03/2024,Mostly cloudy,Old buffalo dung,Slightly sloped,15,15,30,59,1835,1551,"","",species_level,145,21,55,12,6
SU_S02_P05,Aristida adscensionis,1,Graminoid,ug (Sparse upward graminoid),26,30,16,Absent,,absent,Thin linear,low,"",,"",32,"",Summerplace,SU_S02,11:24,02/03/2024,Sunny,Large antelope droppings,Flat,10,0,170,120,140,90,"","",species_level,132,10,47,10,6
SW_S01_P04,Aristida adscensionis,1,Graminoid,ug (Sparse upward graminoid),10,19,6,Absent,,absent,Thin linear,low,Not cagey,,"",46,"",Swebeswebe,SW_S01,17:31,18/03/2024,Sunny,Small antelope droppings,Flat,65,0,320,20,510,710,"","",species_level,91,11,30,8,5
LA_S02_P04,Aristida aequiglumis,1,Graminoid,ug (Sparse upward graminoid),60,8,4,Absent,,Absent,Thin linear,low,Not cagey,,"",70,"",Lapalala,LA_S02,"",16/02/2024,"Sunny, no clouds",Elephant dung,Flat,10,5,120,100,450,130,"","",species_level,88,15,32,9,5
JE_S02_P01,Aristida aequiglumis,15,Graminoid,at (Angry tussock graminoid),60,60,50,Absent,,Absent,Thin linear,extremely thick,Semi cagey,,"",73,"",Jembisa,JE_S02,10:15,22/02/2024,"Sunny, no clouds","path, old dung, herd of wildebeest present at arrival",Flat,20,0,70,130,310,120,ECO_07,"comparatively short veg, close to wildlife path",species_level,102,18,42,12,8
JE_S02_P04,Aristida aequiglumis,5,Graminoid,lg (Large graminoid),40,24,21,Absent,,Absent,Thin linear,medium,Not cagey,,"",87,"",Jembisa,JE_S02,12:47,22/02/2024,Sunny,"",Flat,40,0,100,130,460,300,"","",species_level,102,11,42,12,7
SU_S02_P04,Aristida aequiglumis,1,Graminoid,ug (Sparse upward graminoid),17,9,6,Absent,,absent,Thin linear,low,Not cagey,,"",84,"",Summerplace,SU_S02,10:43,02/03/2024,Sunny,Antelope droppings,Flat,25,2,160,50,430,300,"","",species_level,132,14,47,10,8
